algorithm,Makespan,WeightedTardiness,run
1to2,4280.0,10231.0,1.0
1to2,4238.0,10999.0,1.0
1to2,4137.0,11737.0,1.0
1to2,4024.0,14871.0,1.0
1to2,4014.0,17825.0,1.0
1to2,4000.0,18820.0,1.0
1to2,3900.0,28047.0,1.0
1to2,3891.0,28777.0,1.0
1to2,3885.0,29054.0,1.0
1to2,4453.0,8961.0,1.0
1to2,4294.0,10719.0,2.0
1to2,4219.0,11507.0,2.0
1to2,4181.0,12163.0,2.0
1to2,4201.0,12093.0,2.0
1to2,4161.0,13183.0,2.0
1to2,4058.0,15294.0,2.0
1to2,3972.0,22322.0,2.0
1to2,3910.0,25626.0,2.0
1to2,3906.0,29022.0,2.0
1to2,3887.0,30871.0,2.0
1to2,3886.0,31143.0,2.0
1to2,4430.0,9310.0,2.0
1to2,4373.0,9507.0,3.0
1to2,4261.0,9935.0,3.0
1to2,4213.0,10957.0,3.0
1to2,4100.0,12751.0,3.0
1to2,4082.0,13038.0,3.0
1to2,4074.0,14989.0,3.0
1to2,3976.0,23411.0,3.0
1to2,3873.0,29601.0,3.0
1to2,3867.0,29953.0,3.0
1to2,3869.0,29899.0,3.0
1to2,4422.0,9401.0,3.0
1to2,4325.0,10465.0,4.0
1to2,4294.0,10993.0,4.0
1to2,4146.0,12247.0,4.0
1to2,4117.0,12477.0,4.0
1to2,4114.0,12825.0,4.0
1to2,4070.0,16924.0,4.0
1to2,3945.0,20749.0,4.0
1to2,3917.0,22357.0,4.0
1to2,3914.0,22701.0,4.0
1to2,3863.0,26907.0,4.0
1to2,3862.0,27248.0,4.0
1to2,4392.0,9396.0,4.0
1to2,4286.0,10291.0,5.0
1to2,4263.0,10514.0,5.0
1to2,4216.0,10875.0,5.0
1to2,4017.0,15726.0,5.0
1to2,4002.0,16770.0,5.0
1to2,3978.0,20483.0,5.0
1to2,3937.0,21842.0,5.0
1to2,3944.0,21689.0,5.0
1to2,3929.0,25203.0,5.0
1to2,3883.0,31042.0,5.0
1to2,4406.0,9261.0,5.0
1to2,4288.0,11203.0,6.0
1to2,4173.0,12115.0,6.0
1to2,4112.0,12699.0,6.0
1to2,4065.0,13169.0,6.0
1to2,4064.0,13570.0,6.0
1to2,4061.0,14160.0,6.0
1to2,3987.0,18175.0,6.0
1to2,3925.0,26813.0,6.0
1to2,3905.0,29477.0,6.0
1to2,3882.0,30979.0,6.0
1to2,3878.0,32331.0,6.0
1to2,4420.0,10132.0,6.0
1to2,4271.0,10328.0,7.0
1to2,4288.0,10301.0,7.0
1to2,4230.0,12100.0,7.0
1to2,4146.0,13374.0,7.0
1to2,3998.0,18339.0,7.0
1to2,3955.0,19477.0,7.0
1to2,3948.0,19911.0,7.0
1to2,3891.0,26867.0,7.0
1to2,3881.0,28975.0,7.0
1to2,3876.0,31322.0,7.0
1to2,4461.0,9782.0,7.0
1to2,4332.0,10499.0,8.0
1to2,4219.0,11308.0,8.0
1to2,4186.0,11818.0,8.0
1to2,4063.0,13834.0,8.0
1to2,4049.0,14059.0,8.0
1to2,4026.0,14849.0,8.0
1to2,4006.0,17791.0,8.0
1to2,3993.0,18929.0,8.0
1to2,3979.0,19363.0,8.0
1to2,3903.0,27529.0,8.0
1to2,3877.0,28810.0,8.0
1to2,3863.0,30208.0,8.0
1to2,4456.0,10491.0,8.0
1to2,4247.0,11215.0,9.0
1to2,4148.0,12330.0,9.0
1to2,4114.0,12752.0,9.0
1to2,4107.0,13270.0,9.0
1to2,4042.0,16072.0,9.0
1to2,4014.0,19126.0,9.0
1to2,4002.0,19772.0,9.0
1to2,3943.0,22711.0,9.0
1to2,3923.0,24435.0,9.0
1to2,3891.0,26890.0,9.0
1to2,3877.0,31691.0,9.0
1to2,3876.0,32278.0,9.0
1to2,3872.0,33313.0,9.0
1to2,4431.0,9549.0,9.0
1to2,4273.0,10623.0,10.0
1to2,4208.0,10926.0,10.0
1to2,4093.0,12413.0,10.0
1to2,4088.0,13003.0,10.0
1to2,4078.0,14397.0,10.0
1to2,4051.0,15450.0,10.0
1to2,4018.0,17959.0,10.0
1to2,4009.0,18740.0,10.0
1to2,3975.0,20733.0,10.0
1to2,3878.0,26427.0,10.0
1to2,3854.0,28161.0,10.0
1to2,4396.0,9004.0,10.0
1to2,4383.0,10059.0,11.0
1to2,4218.0,10551.0,11.0
1to2,4155.0,12323.0,11.0
1to2,3983.0,17412.0,11.0
1to2,3995.0,17334.0,11.0
1to2,3947.0,23092.0,11.0
1to2,3862.0,29835.0,11.0
1to2,3858.0,30871.0,11.0
1to2,4396.0,9657.0,11.0
1to2,4299.0,10506.0,12.0
1to2,4253.0,10710.0,12.0
1to2,4200.0,11059.0,12.0
1to2,4150.0,12261.0,12.0
1to2,4119.0,13847.0,12.0
1to2,4052.0,18454.0,12.0
1to2,3963.0,21081.0,12.0
1to2,3940.0,23364.0,12.0
1to2,3922.0,25440.0,12.0
1to2,3900.0,27651.0,12.0
1to2,3905.0,27542.0,12.0
1to2,3879.0,30631.0,12.0
1to2,3878.0,31101.0,12.0
1to2,4431.0,9223.0,12.0
1to2,4278.0,9361.0,13.0
1to2,4267.0,9640.0,13.0
1to2,4204.0,10399.0,13.0
1to2,4181.0,10680.0,13.0
1to2,4100.0,14580.0,13.0
1to2,4084.0,14882.0,13.0
1to2,4044.0,17013.0,13.0
1to2,4037.0,17442.0,13.0
1to2,3973.0,20392.0,13.0
1to2,3933.0,22620.0,13.0
1to2,3893.0,28579.0,13.0
1to2,3861.0,30271.0,13.0
1to2,4247.0,10313.0,14.0
1to2,4236.0,10346.0,14.0
1to2,4201.0,10525.0,14.0
1to2,4142.0,11571.0,14.0
1to2,4116.0,11828.0,14.0
1to2,4058.0,15149.0,14.0
1to2,4047.0,16699.0,14.0
1to2,4031.0,17699.0,14.0
1to2,4021.0,18058.0,14.0
1to2,3995.0,20500.0,14.0
1to2,3939.0,25063.0,14.0
1to2,3879.0,29477.0,14.0
1to2,3878.0,30414.0,14.0
1to2,3873.0,31894.0,14.0
1to2,4428.0,9403.0,14.0
1to2,4385.0,10016.0,15.0
1to2,4278.0,10351.0,15.0
1to2,4232.0,11085.0,15.0
1to2,4144.0,12185.0,15.0
1to2,4111.0,12613.0,15.0
1to2,4092.0,13748.0,15.0
1to2,4066.0,14459.0,15.0
1to2,3988.0,17814.0,15.0
1to2,3986.0,18432.0,15.0
1to2,3954.0,20335.0,15.0
1to2,3864.0,30605.0,15.0
1to2,4413.0,9894.0,15.0
2to1,3953.0,25550.0,1.0
2to1,3978.0,22626.0,1.0
2to1,3987.0,20208.0,1.0
2to1,4005.0,18556.0,1.0
2to1,4024.0,16927.0,1.0
2to1,4041.0,16342.0,1.0
2to1,4121.0,11704.0,1.0
2to1,4194.0,10081.0,1.0
2to1,4245.0,9646.0,1.0
2to1,4274.0,9315.0,1.0
2to1,4289.0,9226.0,1.0
2to1,4314.0,9091.0,1.0
2to1,4330.0,9034.0,1.0
2to1,4375.0,8961.0,1.0
2to1,3885.0,29710.0,1.0
2to1,3902.0,21914.0,2.0
2to1,3947.0,20822.0,2.0
2to1,3973.0,17649.0,2.0
2to1,4001.0,14691.0,2.0
2to1,4022.0,13603.0,2.0
2to1,4017.0,14266.0,2.0
